Preço,Condomínio,URL
800.000,700,/imovel/cobertura-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-97m2-venda-RS800000-id-2461342483/
970.000,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-114m2-venda-RS970000-id-2458639297/
1.890.000,0,/imovel/casa-2-quartos-jurere-internacional-bairros-florianopolis-200m2-venda-RS1890000-id-2454522480/
1.390.000,11,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-95m2-venda-RS1390000-id-89205912/
795.000,600,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-81m2-venda-RS795000-id-2453109487/
794.926,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-84m2-venda-RS794926-id-2463887990/
357.000,0,/imoveis-lancamento/morada-do-atlantico-residencial-7613/
693.533,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-72m2-venda-RS693533-id-2463887991/
941.910,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-67m2-venda-RS941910-id-2463886985/
880.846,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-73m2-venda-RS880846-id-2463887331/
937.246,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-68m2-venda-RS937246-id-2463887330/
1.015.290,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-96m2-venda-RS1015290-id-2463887332/
958.374,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-102m2-venda-RS958374-id-2463887333/
850.000,600,/imovel/cobertura-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-90m2-venda-RS850000-id-2460304396/
245.935,0,/imoveis-lancamento/frontier-residence-2446980384/
452.361,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-75m2-venda-RS452361-id-2462884027/
452.361,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-74m2-venda-RS452361-id-2459810005/
699.000,480,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-74m2-venda-RS699000-id-2459221596/
1.636.100,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-106m2-venda-RS1636100-id-2462252391/
695.000,460,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-79m2-venda-RS695000-id-2450649481/
1.300.000,1.100,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-132m2-venda-RS1300000-id-2457550931/
513.000,0,/imoveis-lancamento/residencial-ines-de-castro-2453902704/
695.000,300,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-92m2-venda-RS695000-id-55044661/
659.000,850,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-93m2-venda-RS659000-id-2453883093/
659.000,800,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-89m2-venda-RS659000-id-2439165578/
690.499,350,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-80m2-venda-RS690499-id-74130047/
1.140.000,987,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-90m2-venda-RS1140000-id-1040511400/
710.000,500,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-87m2-venda-RS710000-id-2454522382/
545.000,450,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-74m2-venda-RS545000-id-1039600238/
695.000,800,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-89m2-venda-RS695000-id-2460257592/
680.000,500,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-78m2-venda-RS680000-id-2428985505/
950.000,0,/imovel/casa-2-quartos-jurere-internacional-bairros-florianopolis-67m2-venda-RS950000-id-2454011134/
495.000,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-95m2-venda-RS495000-id-2462101506/
650.000,500,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-71m2-venda-RS650000-id-2450249478/
515.021,0,/imoveis-lancamento/floripa-residence-10465/
800.000,700,/imovel/cobertura-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-97m2-venda-RS800000-id-2461342483/
970.000,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-114m2-venda-RS970000-id-2458639297/
1.890.000,0,/imovel/casa-2-quartos-jurere-internacional-bairros-florianopolis-200m2-venda-RS1890000-id-2454522480/
1.390.000,11,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-95m2-venda-RS1390000-id-89205912/
795.000,600,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-81m2-venda-RS795000-id-2453109487/
794.926,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-84m2-venda-RS794926-id-2463887990/
357.000,0,/imoveis-lancamento/morada-do-atlantico-residencial-7613/
693.533,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-72m2-venda-RS693533-id-2463887991/
941.910,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-67m2-venda-RS941910-id-2463886985/
880.846,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-73m2-venda-RS880846-id-2463887331/
937.246,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-68m2-venda-RS937246-id-2463887330/
1.015.290,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-96m2-venda-RS1015290-id-2463887332/
958.374,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-102m2-venda-RS958374-id-2463887333/
850.000,600,/imovel/cobertura-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-90m2-venda-RS850000-id-2460304396/
245.935,0,/imoveis-lancamento/frontier-residence-2446980384/
452.361,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-75m2-venda-RS452361-id-2462884027/
452.361,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-74m2-venda-RS452361-id-2459810005/
699.000,480,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-74m2-venda-RS699000-id-2459221596/
1.636.100,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-106m2-venda-RS1636100-id-2462252391/
695.000,460,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-79m2-venda-RS695000-id-2450649481/
1.300.000,1.100,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-132m2-venda-RS1300000-id-2457550931/
513.000,0,/imoveis-lancamento/residencial-ines-de-castro-2453902704/
695.000,300,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-92m2-venda-RS695000-id-55044661/
659.000,850,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-93m2-venda-RS659000-id-2453883093/
659.000,800,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-89m2-venda-RS659000-id-2439165578/
690.499,350,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-80m2-venda-RS690499-id-74130047/
1.140.000,987,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-90m2-venda-RS1140000-id-1040511400/
710.000,500,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-87m2-venda-RS710000-id-2454522382/
545.000,450,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-74m2-venda-RS545000-id-1039600238/
695.000,800,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-89m2-venda-RS695000-id-2460257592/
680.000,500,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-78m2-venda-RS680000-id-2428985505/
950.000,0,/imovel/casa-2-quartos-jurere-internacional-bairros-florianopolis-67m2-venda-RS950000-id-2454011134/
495.000,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-95m2-venda-RS495000-id-2462101506/
650.000,500,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-71m2-venda-RS650000-id-2450249478/
515.021,0,/imoveis-lancamento/floripa-residence-10465/
800.000,700,/imovel/cobertura-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-97m2-venda-RS800000-id-2461342483/
970.000,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-114m2-venda-RS970000-id-2458639297/
1.890.000,0,/imovel/casa-2-quartos-jurere-internacional-bairros-florianopolis-200m2-venda-RS1890000-id-2454522480/
1.390.000,11,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-95m2-venda-RS1390000-id-89205912/
795.000,600,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-81m2-venda-RS795000-id-2453109487/
794.926,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-84m2-venda-RS794926-id-2463887990/
357.000,0,/imoveis-lancamento/morada-do-atlantico-residencial-7613/
693.533,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-72m2-venda-RS693533-id-2463887991/
941.910,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-67m2-venda-RS941910-id-2463886985/
880.846,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-73m2-venda-RS880846-id-2463887331/
937.246,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-68m2-venda-RS937246-id-2463887330/
1.015.290,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-96m2-venda-RS1015290-id-2463887332/
958.374,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-102m2-venda-RS958374-id-2463887333/
850.000,600,/imovel/cobertura-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-90m2-venda-RS850000-id-2460304396/
245.935,0,/imoveis-lancamento/frontier-residence-2446980384/
452.361,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-75m2-venda-RS452361-id-2462884027/
452.361,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-74m2-venda-RS452361-id-2459810005/
699.000,480,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-74m2-venda-RS699000-id-2459221596/
1.636.100,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-106m2-venda-RS1636100-id-2462252391/
695.000,460,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-79m2-venda-RS695000-id-2450649481/
1.300.000,1.100,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-132m2-venda-RS1300000-id-2457550931/
513.000,0,/imoveis-lancamento/residencial-ines-de-castro-2453902704/
695.000,300,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-92m2-venda-RS695000-id-55044661/
659.000,850,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-93m2-venda-RS659000-id-2453883093/
659.000,800,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-89m2-venda-RS659000-id-2439165578/
690.499,350,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-80m2-venda-RS690499-id-74130047/
1.140.000,987,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-90m2-venda-RS1140000-id-1040511400/
710.000,500,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-87m2-venda-RS710000-id-2454522382/
545.000,450,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-74m2-venda-RS545000-id-1039600238/
695.000,800,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-89m2-venda-RS695000-id-2460257592/
680.000,500,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-78m2-venda-RS680000-id-2428985505/
950.000,0,/imovel/casa-2-quartos-jurere-internacional-bairros-florianopolis-67m2-venda-RS950000-id-2454011134/
495.000,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-95m2-venda-RS495000-id-2462101506/
650.000,500,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-71m2-venda-RS650000-id-2450249478/
515.021,0,/imoveis-lancamento/floripa-residence-10465/
800.000,700,/imovel/cobertura-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-97m2-venda-RS800000-id-2461342483/
970.000,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-114m2-venda-RS970000-id-2458639297/
1.890.000,0,/imovel/casa-2-quartos-jurere-internacional-bairros-florianopolis-200m2-venda-RS1890000-id-2454522480/
1.390.000,11,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-95m2-venda-RS1390000-id-89205912/
795.000,600,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-81m2-venda-RS795000-id-2453109487/
794.926,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-84m2-venda-RS794926-id-2463887990/
357.000,0,/imoveis-lancamento/morada-do-atlantico-residencial-7613/
693.533,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-72m2-venda-RS693533-id-2463887991/
941.910,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-67m2-venda-RS941910-id-2463886985/
880.846,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-73m2-venda-RS880846-id-2463887331/
937.246,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-68m2-venda-RS937246-id-2463887330/
1.015.290,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-96m2-venda-RS1015290-id-2463887332/
958.374,0,/imovel/apartamento-2-quartos-jurere-internacional-bairros-florianopolis-com-garagem-102m2-venda-RS958374-id-2463887333/
